ID,id,4.71354E+11,ISSUE_DT,MATURITY,COUPON,ID_ISIN,CALLABLE,SERIES,INFLATION_LINKED_INDICATOR
BR419141 Corp,BR419141 Corp,17792000000,9/21/2021,10/4/2028,0,EU000A3KWCF4,N,NGEU,N
BX313124 Corp,BX313124 Corp,14000000000,6/28/2022,2/4/2048,2.625,EU000A3K4DM9,N,NGEU,N
BX790836 Corp,BX790836 Corp,17771000000,7/19/2022,12/4/2029,1.625,EU000A3K7MW2,N,NGEU,N
JK695583 Corp,JK695583 Corp,3160000000,4/13/2016,4/4/2031,0.75,EU000A18Z2D4,N,emtn,N
EK861313 Corp,EK861313 Corp,52000000,4/21/2015,4/4/2029,0.519,EU000A1Z0AX5,N,EMTN,N
EK861295 Corp,EK861295 Corp,52000000,4/21/2015,4/4/2027,0.519,EU000A1Z0AV9,N,EMtN,N
EK861301 Corp,EK861301 Corp,52000000,4/21/2015,4/4/2028,0.519,EU000A1Z0AW7,N,EMTN,N
EK741888 Corp,EK741888 Corp,20000000,2/10/2015,12/4/2028,0.77,EU000A1ZVYQ9,N,eMTN,N
EK741882 Corp,EK741882 Corp,20000000,2/10/2015,12/4/2027,0.77,EU000A1ZVYP1,N,EMTN,N
EK741894 Corp,EK741894 Corp,20000000,2/10/2015,12/4/2029,0.77,EU000A1ZVYR7,N,EMTN,N
ZQ500944 Corp,ZQ500944 Corp,150000000,11/13/2019,11/13/2034,0.3,EU000A2R99Z3,N,EMTN,N
ZD153851 Corp,ZD153851 Corp,7000000000,2/27/2024,12/4/2034,3,EU000A3K4ES4,N,NGEU,N
BQ059793 Corp,BQ059793 Corp,20000000000,6/22/2021,7/4/2031,0,EU000A3KSXE1,N,NGEU,N
BQ507285 Corp,BQ507285 Corp,5250000000,7/20/2021,4/22/2031,0,EU000A3KT6A3,N,EMTN,N
BQ507286 Corp,BQ507286 Corp,16003000000,7/20/2021,7/4/2041,0.45,EU000A3KT6B1,N,NGEU,N
ZH383933 Corp,ZH383933 Corp,5710000000,10/17/2023,4/4/2044,4,EU000A3K4EL9,N,NGEU,N
EI823226 Corp,EI823226 Corp,4000000000,9/29/2011,9/4/2026,3,EU000A1GVVF8,N,EMTN,N
EI951860 Corp,EI951860 Corp,3000000000,1/16/2012,4/4/2042,3.75,EU000A1GY6W8,N,EMTN,N
BZ639420 Corp,BZ639420 Corp,14000000000,10/18/2022,11/4/2042,3.375,EU000A3K4DV0,N,NGEU,N
EI434514 Corp,EI434514 Corp,200000000,10/20/2010,10/20/2025,2.875,EU000A1A2KZ4,N,EMTN,N
ZK350332 Corp,ZK350332 Corp,12716000000,5/3/2023,10/4/2038,3.375,EU000A3K4D74,N,NGEU,N
BW463920 Corp,BW463920 Corp,18014000000,5/18/2022,7/4/2025,0.8,EU000A3K4DJ5,N,NGEU,N
BW649984 Corp,BW649984 Corp,300000000,5/25/2022,5/25/2037,1.875,EU000A3K4DK3,N,EMTN,N
ZN378478 Corp,ZN378478 Corp,9463000000,11/22/2022,2/4/2033,2.75,EU000A3K4DW8,N,NGEU,N
ZN378480 Corp,ZN378480 Corp,17812000000,11/22/2022,3/4/2053,3,EU000A3K4DY4,N,NGEU,N
BU325535 Corp,BU325535 Corp,2200000000,2/15/2022,10/22/2026,0.25,EU000A3K4DA4,N,EMTN,N
ZN798922 Corp,ZN798922 Corp,6548000000,12/14/2022,12/4/2037,2.75,EU000A3K4D09,N,SURE,N
ZK534589 Corp,ZK534589 Corp,11842000000,5/16/2023,10/5/2026,2.75,EU000A3K4D82,N,NGEU,N
BV719365 Corp,BV719365 Corp,7000000000,4/12/2022,2/4/2043,1.25,EU000A3K4DG1,N,NGEU,N
BV413229 Corp,BV413229 Corp,19007000000,3/29/2022,7/6/2032,1,EU000A3K4DD8,N,NGEU,N
BV413230 Corp,BV413230 Corp,2170000000,3/29/2022,6/4/2037,1.125,EU000A3K4DE6,N,SURE,N
BV089928 Corp,BV089928 Corp,600000000,3/11/2022,3/11/2037,0.875,EU000A3K4DC0,N,EMTN,N
EK586058 Corp,EK586058 Corp,2245000000,11/12/2014,10/4/2029,1.375,EU000A1ZR7H3,N,EMTN,N
EJ043129 Corp,EJ043129 Corp,3000000000,3/5/2012,4/4/2032,3.375,EU000A1G1Q17,N,EMtn,N
EJ415613 Corp,EJ415613 Corp,3000000000,10/30/2012,11/4/2027,2.5,EU000A1HBXS7,N,EMT,N
ZL444747 Corp,ZL444747 Corp,14693000000,3/14/2023,7/4/2034,3.25,EU000A3K4D41,N,NGEU,N
