ID,id,ISSUE_DT,MATURITY,COUPON,ID_ISIN,CALLABLE,SERIES,INFLATION_LINKED_INDICATOR,CURRENCY
GG730436 Corp,GG730436 Corp,11/1/1977,11/15/1999,10.75,ZAG000010232,N,070,N,ZAR
GG730542 Corp,GG730542 Corp,7/15/1980,7/15/2001,9.8,ZAG000010323,N,101,N,ZAR
GG730544 Corp,GG730544 Corp,12/1/1980,12/1/2001,11.5,ZAG000010349,N,104,N,ZAR
GG730546 Corp,GG730546 Corp,12/1/1981,5/1/2002,13,ZAG000010372,N,113,N,ZAR
GG730548 Corp,GG730548 Corp,2/28/1979,4/15/2004,9,ZAG000010281,N,R089,N,ZAR
GG730662 Corp,GG730662 Corp,2/28/1994,8/1/2008,12.75,ZAG000010596,N,165,N,ZAR
GG715480 Corp,GG715480 Corp,4/16/1992,8/15/1997,14,ZAG000010380,N,119,N,ZAR
GG715484 Corp,GG715484 Corp,6/22/1989,8/31/2010,13,ZAG000010539,N,R153,N,ZAR
GG716662 Corp,GG716662 Corp,6/1/1992,5/30/1996,12.5,ZAG000010497,N,145,N,ZAR
GG715482 Corp,GG715482 Corp,6/30/1989,5/30/2000,11.5,ZAG000010513,N,147,N,ZAR
EJ358467 Corp,EJ358467 Corp,10/24/1991,9/15/2016,13.5,ZAG000099870,N,R159,N,ZAR
EJ358437 Corp,EJ358437 Corp,10/24/1991,9/15/2014,13.5,ZAG000099854,N,R009,N,ZAR
EJ358462 Corp,EJ358462 Corp,10/24/1991,9/15/2015,13.5,ZAG000099862,N,R158,N,ZAR
GG726043 Corp,GG726043 Corp,5/15/1978,4/15/2000,10.625,ZAG000010240,N,083,N,ZAR
GG724952 Corp,GG724952 Corp,4/3/1995,1/15/2002,12.5,ZAG000015850,N,162,N,ZAR
GG728430 Corp,GG728430 Corp,5/17/1996,3/21/1997,17.04,#N/A Field Not Applicable,N,191,N,ZAR
GG730435 Corp,GG730435 Corp,9/15/1996,11/30/2000,11.5,ZAG000016205,N,149,N,ZAR
GG730449 Corp,GG730449 Corp,8/25/1975,10/15/2000,10,ZAG000010190,N,055,N,ZAR
GG726039 Corp,GG726039 Corp,9/17/1984,10/15/2006,14.5,ZAG000010406,N,R126,N,ZAR
GG726236 Corp,GG726236 Corp,2/1/1994,8/1/2007,12.75,ZAG000010588,N,164,N,ZAR
GG717464 Corp,GG717464 Corp,6/15/1988,2/28/1996,14,ZAG000010463,N,141,N,ZAR
GG717508 Corp,GG717508 Corp,4/16/1984,7/15/2005,13,ZAG000010398,N,R124,N,ZAR
GG717659 Corp,GG717659 Corp,8/31/1987,8/15/1996,13,ZAG000010455,N,137,N,ZAR
GG717660 Corp,GG717660 Corp,6/28/1976,10/1/1996,10,ZAG000010208,N,061,N,ZAR
GG717662 Corp,GG717662 Corp,5/15/1972,4/15/1997,8.5,ZAG000010109,N,040,N,ZAR
GG717664 Corp,GG717664 Corp,4/15/1977,4/15/1998,11,ZAG000010224,N,066,N,ZAR
GG717665 Corp,GG717665 Corp,6/21/1973,9/15/1998,7.75,ZAG000010133,N,044,N,ZAR
GG717667 Corp,GG717667 Corp,7/1/1987,8/15/1999,12.75,ZAG000010430,N,135,N,ZAR
GG719111 Corp,GG719111 Corp,4/15/1994,9/15/2006,9.25,ZAG000010653,N,176,N,ZAR
GG719109 Corp,GG719109 Corp,4/15/1994,7/15/2001,8.75,ZAG000010638,N,174,N,ZAR
GG717459 Corp,GG717459 Corp,8/1/1975,4/15/1995,9.5,ZAG000010182,N,051,N,ZAR
GG717461 Corp,GG717461 Corp,10/1/1972,9/15/1995,8.125,ZAG000010117,N,042,N,ZAR
GG717463 Corp,GG717463 Corp,1/24/1973,2/1/1996,8.125,ZAG000010125,N,043,N,ZAR
GG717658 Corp,GG717658 Corp,5/17/1971,5/15/1996,8.5,ZAG000010091,N,038,N,ZAR
GG717661 Corp,GG717661 Corp,8/25/1988,11/30/1996,13.5,ZAG000010471,N,142,N,ZAR
GG717663 Corp,GG717663 Corp,9/28/1976,11/15/1997,11,ZAG000010216,N,064,N,ZAR
GG717666 Corp,GG717666 Corp,5/8/1974,6/15/1999,8.25,ZAG000010141,N,045,N,ZAR
GG717668 Corp,GG717668 Corp,8/30/1974,11/15/1999,9.75,ZAG000010166,N,049,N,ZAR
GG720912 Corp,GG720912 Corp,9/21/1994,9/21/1998,0,ZAG000010737,N,190,N,ZAR
GG719110 Corp,GG719110 Corp,4/15/1994,10/15/2002,9,ZAG000010646,N,R175,N,ZAR
GG719112 Corp,GG719112 Corp,4/15/1994,5/15/2007,9.5,ZAG000010661,N,R177,N,ZAR
GG720857 Corp,GG720857 Corp,10/24/1991,9/15/2015,13.5,ZAG000010547,N,R157,N,ZAR
GG717458 Corp,GG717458 Corp,10/1/1969,4/1/1995,6.5,ZAG000010075,N,032,N,ZAR
GG717460 Corp,GG717460 Corp,10/1/1970,9/1/1995,7.75,ZAG000010083,N,037,N,ZAR
